id,entidad,descripcion,monto,tipo,fecha
1,Ministerio de Transporte,Adquisición de medicamentos para hospitales,64901.42,Seguridad,2025-04-09
2,Municipalidad,Compra de equipos médicos de diagnóstico,45852.07,Infraestructura,2024-09-16
3,Gobierno Regional,Adquisición de equipos de cómputo,69430.66,Salud,2024-08-13
4,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,95690.9,Educación,2025-05-18
5,Ministerio del Interior,Adquisición de medicamentos para hospitales,42975.4,Salud,2024-11-18
6,Ministerio de Transporte,Compra de equipos médicos de diagnóstico,42975.89,Infraestructura,2024-11-07
7,Ministerio de Agricultura,Contratación de servicios de limpieza,97376.38,Salud,2024-10-29
8,Ministerio de Agricultura,Compra de equipos médicos de diagnóstico,73023.04,Seguridad,2024-09-27
9,Ministerio de Agricultura,Adquisición de uniformes policiales,35915.77,Infraestructura,2025-05-17
10,SUNAT,Contratación de servicios de limpieza,66276.8,Servicios,2024-09-12
11,Ministerio de Salud,Desarrollo de software educativo,36097.47,Tecnología,2025-04-23
12,Gobierno Regional,Adquisición de equipos de cómputo,36028.11,Ambiental,2025-05-18
13,Ministerio de Educación,Recolección de residuos sólidos,57258.87,Infraestructura,2025-07-16
14,EsSalud,Desarrollo de software educativo,1000.0,Servicios,2025-03-03
15,Ministerio de Transporte,Mantenimiento de carreteras nacionales,1000.0,Ambiental,2024-09-06
16,Ministerio de Transporte,Impresión de materiales escolares,33131.37,Tecnología,2025-03-21
17,Ministerio de Educación,Contratación de servicios de limpieza,19615.07,Servicios,2025-01-14
18,Ministerio de Salud,Adquisición de equipos de cómputo,59427.42,Ambiental,2024-08-16
19,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,22759.28,Ambiental,2024-08-15
20,Ministerio de Transporte,Compra de luminarias LED para parques,7630.89,Servicios,2024-09-09
21,Gobierno Local,Mejoramiento de sistemas de riego agrícola,93969.46,Tecnología,2024-10-27
22,Ministerio de Educación,Contratación de servicios de limpieza,43226.71,Infraestructura,2024-11-02
23,Ministerio de Transporte,Adquisición de medicamentos para hospitales,52025.85,Seguridad,2025-02-16
24,EsSalud,Desarrollo de software educativo,7257.55,Servicios,2025-03-25
25,Ministerio de Transporte,Capacitación a personal administrativo,33668.52,Infraestructura,2024-08-14
26,Ministerio de Transporte,Adquisición de uniformes policiales,53327.68,Servicios,2025-03-09
27,SUNAT,Instalación de cámaras de videovigilancia,15470.19,Tecnología,2024-10-20
28,Ministerio de Educación,Catering para evento institucional,61270.94,Servicios,2025-05-09
29,Ministerio de Educación,Compra de equipos médicos de diagnóstico,31980.84,Seguridad,2025-04-13
30,Municipalidad,Adquisición de equipos de cómputo,41249.19,Seguridad,2025-05-03
31,Ministerio de Transporte,Contratación de servicios de limpieza,31948.8,Seguridad,2025-03-03
32,Gobierno Regional,Compra de luminarias LED para parques,105568.35,Seguridad,2025-01-13
33,EsSalud,Catering para evento institucional,49595.08,Ambiental,2024-10-28
34,Ministerio del Interior,Recolección de residuos sólidos,18268.67,Seguridad,2025-01-25
35,Ministerio de Agricultura,Compra de equipos médicos de diagnóstico,74676.35,Seguridad,2025-03-20
36,Ministerio de Educación,Capacitación a personal administrativo,13374.69,Tecnología,2024-11-20
37,Ministerio de Salud,Compra de equipos médicos de diagnóstico,56265.91,Tecnología,2025-06-14
38,Ministerio de Salud,Desarrollo de software educativo,1000.0,Servicios,2025-07-07
39,Ministerio del Interior,Recolección de residuos sólidos,10154.42,Salud,2024-08-06
40,EsSalud,Mejoramiento de sistemas de riego agrícola,55905.84,Educación,2025-05-25
41,Ministerio de Educación,Compra de equipos médicos de diagnóstico,72154.0,Seguridad,2025-06-12
42,SUNAT,Adquisición de uniformes policiales,55141.05,Seguridad,2024-10-05
43,SUNAT,Catering para evento institucional,46530.55,Servicios,2025-05-02
44,Gobierno Regional,Compra de equipos médicos de diagnóstico,40966.89,Seguridad,2025-01-15
45,Ministerio de Agricultura,Compra de luminarias LED para parques,5644.34,Servicios,2024-12-14
46,Gobierno Local,Adquisición de uniformes policiales,28404.67,Educación,2024-11-19
47,Ministerio del Interior,Impresión de materiales escolares,36180.84,Infraestructura,2024-10-03
48,Gobierno Regional,Compra de luminarias LED para parques,81713.67,Ambiental,2024-10-26
49,Ministerio de Transporte,Desarrollo de software educativo,60308.55,Salud,2025-05-27
50,Ministerio de Transporte,Catering para evento institucional,1000.0,Seguridad,2024-12-12
51,Gobierno Regional,Desarrollo de software educativo,59722.52,Seguridad,2024-09-12
52,Ministerio del Interior,Contratación de servicios de limpieza,38447.53,Salud,2024-09-09
